OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;YearsENERGYSTARCertified;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);TotalGHGEmissions;GHGEmissionsIntensity;DefaultData;ComplianceStatus;Outlier;Predict_ghgemissions;Predict_energyuse
15;2017;NonResidential;Hotel;Hotel Monaco Seattle;1101 4th Avenue;Seattle;WA;98101.0;0942000145;7.0;DOWNTOWN;47.60695;-122.33414;1969.0;1.0;11.0;153,163;19,279;133,884;Hotel;Hotel;133,884;;;;;;35.0;120.00;119.20;227.00;225.90;16,066,496;15,958,532;5,702,268;1,773,678.25;6,051,790.189;43,124.38;4,312,437.50;557.21;3.638;N;Compliant;;261.99;1996614.5
16;2017;NonResidential;Hotel;42SCF-W Seattle;1112 Fourth Avenue;Seattle;WA;98101.0;0942000165;7.0;DOWNTOWN;47.60713;-122.33323;1998.0;1.0;25.0;333,176;61,161;272,015;Hotel;Hotel;314,559;;;;;;38.0;88.40;87.10;217.20;213.10;27,806,852;27,384,446;6,340,211.5;5,351,476.5;18,259,237.818;32,074.00;3,207,400.20;582.94;1.75;N;Compliant;;261.99;1996614.5
17;2017;NonResidential;Hotel;Executive Pacific Plaza;400 Spring Street;Seattle;WA;98104.0;0942000210;7.0;DOWNTOWN;47.60699;-122.33346;1928.0;1.0;9.0;65,009;0;65,009;Hotel;Hotel;65,009;;;;;;94.0;73.00;73.00;88.50;88.50;4,742,757;4,742,757;1,569,480.875;74,412.3984375;253,895.10346875;29,193.81;2,919,380.86;239.53;3.685;N;Compliant;;261.99;1996614.5
18;2017;NonResidential;Hotel;Crowne Plaza Hotel Seattle;1113 6th Ave;Seattle;WA;98101.0;0942000235;7.0;DOWNTOWN;47.60809;-122.33212;1980.0;1.0;33.0;353,111;57,600;295,511;Hotel, Parking;Hotel;295,511;Parking;57,600;;;;65.0;75.40;;176.70;;22,282,796;;;4,010,593.5;13,684,145.022;72,189.79;7,218,978.91;440.01;1.246;N;Compliant;;261.99;1996614.5
19;2017;NonResidential;Hotel;Hotel Vintage Seattle;1100 5th Avenue;Seattle;WA;98101.0;0942000265;7.0;DOWNTOWN;47.60755;-122.33244;1922.0;1.0;11.0;92,190;25,200;66,990;Hotel, Parking;Hotel;67,390;Parking;25,200;;;;34.0;172.20;171.30;310.80;309.70;11,603,445;11,542,387;5,626,128;1,108,215.625;3,781,231.7125;21,960.84;2,196,084.18;431.37;4.679;N;Compliant;;261.99;1996614.5
21;2017;Nonresidential COS;Other;The Seattle Public Library - Central Library;1000 Fourth Avenue;Seattle;WA;98154.0;0942000275;7.0;DOWNTOWN;47.60649;-122.33297;2004.0;1.0;11.0;412,000;57,000;355,000;Data Center, Library, Parking;Library;364,913;Parking;49,000;Data Center;1,074;;;43.70;43.60;133.20;133.10;15,986,807;15,965,283;753,683.625;4,464,572.5;15,233,121.37;;;103.09;0.25;N;Compliant;;261.99;1996614.5
22;2017;NonResidential;Other;Downtown Seattle YMCA;909 4th Avenue;Seattle;WA;98104.0;0942000350;7.0;DOWNTOWN;47.60546;-122.33279;1930.0;1.0;6.0;103,911;0;103,911;Fitness Center/Health Club/Gym, Office, Swimming Pool;Fitness Cen;90,000;Office;40,000;Swimming Pool;0;;;93.70;93.70;190.40;190.40;12,175,522;12,177,365;5,704,005;1,555,010.375;5,305,695.3995;11,658.21;1,165,821.00;387.10;3.725;N;Compliant;;261.99;1996614.5
23;2017;NonResidential;Hotel;Renaissance Seattle Hotel;515 Madison Street;Seattle;WA;98104.0;0942000430;7.0;DOWNTOWN;47.60681;-122.33078;1983.0;1.0;28.0;416,281;85,000;331,281;Hotel, Parking;Hotel;348,329;Parking;85,000;;;;37.0;97.50;95.70;226.70;222.30;33,959,408;33,326,178;;6,071,429.5;20,715,717.454;132,436.86;13,243,685.94;789.08;1.896;N;Compliant;;261.99;1996614.5
24;2017;NonResidential;Mixed Use Property;The Rainier Club;820 4th Ave.;Seattle;WA;98104.0;0942000510;7.0;DOWNTOWN;47.60515;-122.33159;1907.0;1.0;5.0;57,452;0;57,452;Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall;Social/Meet;16,442;Restaurant;15,505;Office;9,741;;;129.10;128.30;263.80;262.90;7,418,679;7,371,858;1,574,400.875;998,932.8125;3,408,358.75625;24,359.19;2,435,919.14;227.17;3.954;N;Compliant;;261.99;1996614.5
25;2017;NonResidential;Hotel;Arctic Club Seattle;700 3rd Ave;Seattle;WA;98104.0;0942000610;7.0;DOWNTOWN;47.60376;-122.33194;1916.0;1.0;10.0;104,352;0;104,352;Hotel;Hotel;104,352;;;;;;53.0;85.10;85.10;205.10;205.10;8,884,319;8,884,319;2,744,007.25;1,634,083;5,575,491.196;5,648.20;564,820.02;198.94;1.906;N;Compliant;;261.99;1996614.5
26;2017;NonResidential;Other;King County Courthouse;516 3RD AVE;Seattle;WA;98104.0;0942000860;7.0;DOWNTOWN;47.60265;-122.33051;1916.0;1.0;10.0;540,360;0;540,360;Courthouse;Courthouse;537,150;;;;;;75.0;91.00;89.60;192.00;190.50;48,880,476;48,101,932;;7,263,115.5;24,781,750.086;240,987.22;24,098,721.88;1,382.41;2.558;N;Compliant;;261.99;1996614.5
27;2017;NonResidential;Other;King County Correctional Facility;500 5TH AVE;Seattle;WA;98104.0;0942001010;3.0;DOWNTOWN;47.60378;-122.32842;1985.0;1.0;19.0;385,274;0;385,274;Other;Other;385,274;;;;;;;124.00;123.00;210.20;209.20;47,756,124;47,386,200;;4,324,419;14,754,917.628;330,012.03;33,001,203.12;1,813.74;4.708;N;Compliant;;261.99;1996614.5
28;2017;SPS-District K-12;K-12 School;Graham Hill Elementary;5149 S. Graham St.;Seattle;WA;98118.0;1102000138;2.0;SOUTHEAST;47.54576;-122.26853;1961.0;1.0;2.0;56,228;0;56,228;K-12 School;K-12 School;58,916;;;;;;95.0;28.60;27.80;61.60;60.90;1,682,550.25;1,639,540.625;;261,348.5;891,721.082;7,908.29;790,829.00;45.69;0.813;N;Compliant;;261.99;1996614.5
29;2017;NonResidential;Hotel;WATERTOWN HOTEL;4242 ROOSEVELT WAY NE;Seattle;WA;98105.0;1142000755;4.0;NORTHEAST;47.65959;-122.31755;2001.0;1.0;6.0;88,592;30,586;58,006;Hotel, Parking;Hotel;67,770;Parking;30,586;;;;90.0;57.00;56.00;131.20;128.80;3,863,650;3,791,958.5;;677,983.8125;2,313,280.76825;15,503.69;1,550,368.95;91.91;1.037;N;Compliant;;261.99;1996614.5
30;2017;NonResidential;University;Main Campus Center;1000 Lenora St.;Seattle;WA;98121.0;0660001420;7.0;DOWNTOWN;47.61816;-122.33629;1928.0;1.0;7.0;126,593;0;126,593;College/University;College/Uni;125,000;;;;;;;97.30;97.40;181.50;181.60;12,163,565;12,169,801;;1,391,368;4,747,347.616;74,162.17;7,416,217.19;413.52;3.266;N;Compliant;;261.99;1996614.5
31;2017;NonResidential;Other;Seattle Honda;1015 & 1017 Olive Way;Seattle;WA;98101.0;0660001725;7.0;DOWNTOWN;47.615;-122.33081;1930.0;1.0;2.0;67,224;0;67,224;Automobile Dealership;Automobile;67,224;;;;;;;0.00;0.00;0.00;0.00;0;0;;0;0;;;0.00;0.0;N;Not Compliant;;261.99;1996614.5
32;2017;NonResidential;Hotel;Homewood Suites;1011 Pike ST;Seattle;WA;98101.0;0660001832;7.0;EAST;47.61301;-122.32929;1991.0;1.0;8.0;158,676;30,301;128,375;Hotel, Parking, Retail Store, Swimming Pool;Hotel;112,676;Parking;42,000;Retail Store;4,500;;;45.70;45.70;56.80;56.80;5,351,128;5,351,723.5;;145,319.703125;495,830.8270625;48,552.97;4,855,297.27;259.92;1.638;Y;Not Compliant;;261.99;1996614.5
33;2017;NonResidential;Hotel;Marriott Springhill Suites;1800 Yale Ave;Seattle;WA;98101.0;0660002680;7.0;DOWNTOWN;47.61784;-122.32966;2001.0;1.0;10.0;171,866;38,281;133,585;Hotel;Hotel;128,909;;;;;;58.0;89.80;88.20;186.60;183.30;11,581,091;11,364,507;;1,668,840.375;5,694,083.3595;58,870.07;5,887,006.64;336.22;1.956;N;Compliant;;261.99;1996614.5
34;2017;SPS-District K-12;K-12 School;Meany Building;301/300 21st Ave. E.;Seattle;WA;98112.0;0688000090;3.0;Central;47.62266;-122.30547;1955.0;1.0;1.0;126,351;0;126,351;K-12 School;K-12 School;126,351;;;;;;99.0;27.40;27.40;41.50;41.50;3,468,018.75;3,462,376.5;;225,068.5;767,933.722;27,000.85;2,700,084.96;146.58;1.16;Y;Not Compliant;;261.99;1996614.5
35;2017;NonResidential;Hotel;Hotel Five;2200 5th ave;Seattle;WA;98121.0;0697000170;7.0;DOWNTOWN;47.61558;-122.34186;1978.0;1.0;5.0;68,410;16,200;52,210;Hotel, Parking;Hotel;52,210;Parking;15,400;;;;71.0;83.80;83.00;184.70;182.10;4,376,607;4,332,159;;708,199.5;2,416,376.694;19,602.30;1,960,229.88;114.10;1.668;N;Compliant;;261.99;1996614.5
36;2017;SPS-District K-12;K-12 School;Jane Addams Middle;11051 34th Ave. N.E.;Seattle;WA;98125.0;0752000170;5.0;NORTH;47.70994;-122.29301;1949.0;1.0;2.0;160,645;0;160,645;K-12 School;K-12 School;164,229;;;;;;70.0;48.00;46.40;74.50;72.80;7,890,891.5;7,620,227.5;;554,486.875;1,891,909.2175;59,989.82;5,998,982.03;326.43;2.032;Y;Not Compliant;;261.99;1996614.5
37;2017;SPS-District K-12;K-12 School;John Hay Elementary;201 Garfield St.;Seattle;WA;98109.0;0809000005;7.0;MAGNOLIA / QUEEN ANNE;47.6329;-122.35172;1989.0;1.0;2.0;51,582;0;51,582;K-12 School;K-12 School;55,166;;;;;;96.0;26.60;26.60;83.50;83.60;1,467,507;1,468,128.75;;430,101.6875;1,467,506.95775;;;6.07;0.118;N;Compliant;;261.99;1996614.5
38;2017;NonResidential;Small- and Mid-Sized Office;Good Shepherd Center;4649 Sunnyside Ave. N.;Seattle;WA;98070.0;0825049102;1.0;LAKE UNION;47.6641;-122.33118;1906.0;1.0;3.0;87,262;0;87,262;K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly;Office;40,943;K-12 School;18,153;Other - Entertainment/Public Assembly;4,307;;;67.10;65.40;108.50;106.80;4,523,929;4,410,662.5;;359,794.8125;1,227,619.90025;32,963.09;3,296,308.98;180.15;2.064;N;Compliant;;261.99;1996614.5
40;2017;NonResidential;Hotel;Silver Cloud University;5036 25th Ave NE;Seattle;WA;98105.0;0925049117;4.0;NORTHEAST;47.66583;-122.29965;1994.0;1.0;4.0;81,871;0;81,871;Hotel;Hotel;81,871;;;;;;28.0;87.70;86.50;173.90;170.40;7,177,935;7,085,024.5;;940,105.625;3,207,640.3925;39,702.95;3,970,294.53;224.13;2.738;N;Compliant;;261.99;1996614.5
41;2017;NonResidential;Self-Storage Facility;08781-University Village;2746 Ne 45th St Suite 100;Seattle;WA;98105.0;0925049330;4.0;NORTHEAST;47.66172;-122.29598;1955.0;1.0;2.0;110,356;0;110,356;Self-Storage Facility;Self-Storag;26,225;;;;;;;11.20;11.20;31.20;31.20;294,099.1875;293,061.59375;;71,600;244,299.2;498.00;49,800.00;3.66;0.033;N;Compliant;;261.99;1996614.5
43;2017;Campus;Mixed Use Property;Plant 2 Site;7755 E MARGINAL WAY S;Seattle;WA;98108.0;0022000005;2.0;GREATER DUWAMISH;47.53493;-122.31788;1992.0;1.0;3.0;494,835;0;494,835;Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office;Office;757,027;Laboratory;639,931;Non-Refrigerated Warehouse;459,748;;;286.40;286.50;468.50;468.60;579,302,208;579,556,160;;47,596,328;162,398,671.136;4,169,035.00;416,903,500.00;22,813.61;46.103;N;Compliant;;261.99;1996614.5
46;2017;Campus;Warehouse;Seattle 11-13;3301 S NORFOLK ST;Seattle;WA;98118.0;0323049024;2.0;GREATER DUWAMISH;47.51138;-122.28875;1961.0;3.0;2.0;714,095;0;714,095;Non-Refrigerated Warehouse, Office, Refrigerated Warehouse;Non-Refrige;616,000;Refrigerated Warehouse;276,000;Office;71,000;;;47.00;46.90;147.60;147.40;45,259,796;45,199,188;;13,264,886;45,259,791.032;;;187.24;0.262;N;Compliant;;261.99;1996614.5
50;2017;SPS-District K-12;K-12 School;Lawton Elementary;4000 27th Ave. W.;Seattle;WA;98199.0;0369000400;7.0;MAGNOLIA / QUEEN ANNE;47.65671;-122.39047;1990.0;1.0;2.0;54,986;0;54,986;K-12 School;K-12 School;54,986;;;;;2,016;97.0;31.50;31.10;79.30;78.90;1,733,154;1,712,583.75;;356,143.3125;1,215,160.98225;5,179.93;517,993.02;32.54;0.592;N;Compliant;;261.99;1996614.5
51;2017;SPS-District K-12;K-12 School;Eckstein Middle;3003 N.E. 75th St.;Seattle;WA;98115.0;0425049022;4.0;NORTHEAST;47.68252;-122.29498;1950.0;1.0;2.0;175,565;0;175,565;K-12 School;K-12 School;182,861;;;;;;91.0;41.50;40.80;61.90;61.20;7,584,022;7,469,367;;469,520.90625;1,602,005.332125;59,820.17;5,982,016.80;324.33;1.847;N;Compliant;;261.99;1996614.5
52;2017;NonResidential;Small- and Mid-Sized Office;SBC52;5305 Shilshole Ave NW;Seattle;WA;98107.0;0467000429;6.0;BALLARD;47.66587;-122.38476;1961.0;1.0;2.0;94,900;0;94,900;Non-Refrigerated Warehouse, Office;Office;55,586;Non-Refrigerated Warehouse;39,314;;;;58.0;70.50;69.30;167.50;166.10;6,693,368.5;6,573,501.5;;1,243,461.875;4,242,691.9175;24,506.76;2,450,676.17;147.71;1.556;N;Compliant;;261.99;1996614.5
53;2017;NonResidential;Small- and Mid-Sized Office;El Centro de la Raza;2524 16th Ave S;Seattle;WA;98144.0;0570000340;2.0;GREATER DUWAMISH;47.58034;-122.31132;1900.0;1.0;2.0;52,554;0;52,554;Office, Other - Education;Office;51,029;Other - Education;7,849;;;;95.0;40.80;40.20;76.90;76.20;2,404,192.5;2,366,052.75;;280,878.5;958,357.442;14,458.35;1,445,834.96;80.75;1.537;N;Compliant;;261.99;1996614.5
54;2017;NonResidential;K-12 School;Blanchet High School;8200 Wallingford Ave. N;Seattle;WA;98103.0;0625049002;6.0;NORTHWEST;47.68891;-122.33553;1954.0;1.0;3.0;175,015;0;175,015;K-12 School;K-12 School;175,015;;;;;;92.0;48.90;47.50;83.60;82.10;8,565,306;8,315,324;;791,119.375;2,699,299.3075;58,660.06;5,866,005.86;322.71;1.844;N;Compliant;;261.99;1996614.5
55;2017;NonResidential;Self-Storage Facility;Vine Street;11 Vine Street;Seattle;WA;98121.0;0653000225;7.0;DOWNTOWN;47.61351;-122.35129;1911.0;1.0;3.0;70,586;0;70,586;Office, Self-Storage Facility, Vocational School;Self-Storag;38,439;Vocational School;28,197;Office;3,859;;;27.50;26.80;65.60;64.90;1,938,035.875;1,889,896;;363,233.1875;1,239,351.63575;6,986.84;698,683.98;42.23;0.598;N;Compliant;;261.99;1996614.5
56;2017;NonResidential;Hotel;Seattle Hilton Hotel;1301 Sixth Ave;Seattle;WA;98101.0;1975700040;7.0;DOWNTOWN;47.60946;-122.33337;1969.0;1.0;24.0;332,210;205,970;126,240;Hotel;Hotel;348,630;;;;;;84.0;43.90;;100.40;;15,316,728;;;2,651,372;9,046,481.264;62,702.46;6,270,246.09;370.44;1.115;N;Compliant;;261.99;1996614.5
57;2017;NonResidential;Large Office;5th and Pine;413 Pine Street;Seattle;WA;98101.0;1975700200;7.0;DOWNTOWN;47.6113;-122.33659;1973.0;1.0;5.0;168,115;0;168,115;Data Center, Office, Retail Store;Office;103,362;Retail Store;65,676;Data Center;493;201,820,172,016;85.0;56.40;55.50;177.20;174.10;9,567,585;9,402,433;;2,804,098.5;9,567,584.082;;;39.58;0.235;N;Compliant;;261.99;1996614.5
58;2017;NonResidential;Other;1525 4th Avenue;1525 4th Ave;Seattle;WA;98101.0;1975700365;7.0;DOWNTOWN;47.61076;-122.33765;1920.0;1.0;2.0;57,428;0;57,428;Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc);Other - Mal;51,747;Personal Services (Health/Beauty, Dry Cleaning, etc);5,681;;;;;20.30;20.30;46.70;46.70;1,164,053.75;1,164,053.75;;204,854;698,961.848;4,650.92;465,091.99;27.59;0.48;N;Compliant;;261.99;1996614.5
59;2017;NonResidential;Small- and Mid-Sized Office;Gibraltar Tower;1520 3rd Ave;Seattle;WA;98101.0;1975700380;7.0;DOWNTOWN;47.61048;-122.33794;1910.0;1.0;8.0;59,400;0;59,400;Office, Retail Store;Office;49,958;Retail Store;5,000;;;;44.0;67.70;67.70;212.50;212.50;3,720,013;3,720,013;;1,090,273.375;3,720,012.7555;;;15.39;0.259;N;Compliant;;261.99;1996614.5
60;2017;NonResidential;Mixed Use Property;Mann Building;1401 3rd Avenue;Seattle;WA;98101.0;1975700525;7.0;DOWNTOWN;47.60886;-122.33744;1926.0;1.0;2.0;52,549;0;52,549;Office, Other - Entertainment/Public Assembly, Restaurant;Other - Ent;23,500;Restaurant;23,500;Office;5,459;;;307.60;304.50;510.00;506.40;16,138,114;15,974,657;;1,375,184;4,692,127.808;114,459.86;11,445,985.94;627.31;11.938;N;Compliant;;261.99;1996614.5
62;2017;NonResidential;Hotel;Roosevelt Hotel;1531 7th Ave;Seattle;WA;98101.0;1976700010;7.0;DOWNTOWN;47.61233;-122.33432;1930.0;1.0;20.0;98,634;10,043;88,591;Hotel, Parking, Restaurant;Hotel;83,591;Parking;10,043;Restaurant;5,000;;75.0;55.00;54.10;157.70;154.90;4,871,794;4,791,904;;1,241,855.875;4,237,212.2455;6,345.81;634,581.01;51.23;0.519;N;Compliant;;261.99;1996614.5
63;2017;Campus;Hotel;Sheraton Seattle Hotel;1400 6th Avenue;Seattle;WA;98101.0;1976700095;7.0;DOWNTOWN;47.61087;-122.33339;1982.0;1.0;34.0;1,083,197;156,583;926,614;Hotel, Parking, Swimming Pool;Hotel;994,212;Parking;117,668;Swimming Pool;0;;62.0;86.40;85.90;192.00;191.40;85,870,096;85,364,488;12,991,603;13,839,272;47,219,596.064;256,588.91;25,658,890.62;2,248.74;2.076;N;Compliant;;261.99;1996614.5
65;2017;NonResidential;Hotel;Inn at the Market;86 Pine St;Seattle;WA;98101.0;1977200050;7.0;DOWNTOWN;47.60997;-122.34138;1985.0;1.0;7.0;71,150;0;71,150;Hotel, Parking, Restaurant, Retail Store;Hotel;41,340;Parking;13,730;Retail Store;9,604;;98.0;94.00;94.00;215.80;215.80;5,397,353.5;5,397,353.5;;943,223.125;3,218,277.3025;21,790.76;2,179,075.98;129.05;1.814;N;Compliant;;261.99;1996614.5
66;2017;NonResidential;Hotel;Moore Hotel INC;1926 2nd Ave;Seattle;WA;98101.0;1977201035;7.0;DOWNTOWN;47.61155;-122.34114;1908.0;1.0;7.0;122,810;0;122,810;Hotel, Other - Entertainment/Public Assembly, Retail Store;Hotel;88,360;Other - Entertainment/Public Assembly;26,450;Retail Store;8,000;;98.0;52.50;51.00;78.20;76.60;6,445,936.5;6,263,231.5;;397,251.8125;1,355,423.18425;50,905.13;5,090,513.28;275.96;2.247;N;Compliant;;261.99;1996614.5
67;2017;NonResidential;Hotel;QUALITY INN;618 JOHN ST;SEATTLE;WA;98109.0;1991200730;7.0;LAKE UNION;47.61986;-122.34413;1959.0;1.0;5.0;113,173;42,546;70,627;Hotel, Parking;Hotel;70,627;Parking;42,546;;;;86.0;78.20;76.50;173.10;167.80;5,524,202.5;5,403,693;;901,151.375;3,074,728.4915;24,494.74;2,449,473.83;142.81;1.262;N;Compliant;;261.99;1996614.5
68;2017;NonResidential;Hotel;Rainier Hospitality;211 Dexter Ave N;Seattle;WA;98109.0;1991200935;7.0;LAKE UNION;47.62001;-122.34274;2000.0;1.0;7.0;150,453;34,735;115,718;Hotel;Hotel;110,547;;;;;2,014;84.0;63.90;63.00;135.30;132.70;7,067,429.5;6,964,738;;1,057,409.625;3,607,881.6405;34,595.47;3,459,547.27;198.66;1.32;N;Compliant;;261.99;1996614.5
69;2017;NonResidential;Hotel;Sequim Lodging Corp;226 Aurora Ave N;Seattle;WA;98109.0;1991200940;7.0;LAKE UNION;47.62025;-122.34314;1997.0;1.0;6.0;116,300;28,200;88,100;Hotel;Hotel;88,490;;;;;;82.0;66.90;66.00;146.90;144.00;5,923,139;5,840,688.5;;950,685.1875;3,243,737.85975;26,794.01;2,679,400.98;155.72;1.339;N;Compliant;;261.99;1996614.5
70;2017;NonResidential;Hotel;Homewood Suites by Hilton Seattle Downtonw;206 Western Ave West;Seattle;WA;98119.0;1992200235;7.0;MAGNOLIA / QUEEN ANNE;47.62023;-122.35951;1998.0;1.0;6.0;155,602;36,744;118,858;Hotel;Hotel;155,602;;;;;;85.0;45.30;44.40;107.80;105.00;7,048,202;6,909,994.5;;1,314,385.5;4,484,683.326;25,635.18;2,563,517.97;154.70;0.994;N;Compliant;;261.99;1996614.5
73;2017;NonResidential;K-12 School;Seattle Hebrew Academy;1617 Interlaken Drive East;Seattle;WA;98136.0;2125049015;3.0;EAST;47.63442;-122.30793;1911.0;1.0;3.0;56,072;0;56,072;K-12 School;K-12 School;56,072;;;;;;70.0;64.10;62.30;87.90;86.00;3,595,219.75;3,495,458;;161,810.90625;552,098.812125;30,431.21;3,043,120.90;163.90;2.923;N;Compliant;;261.99;1996614.5
